Module,SelfCPUtotal,CPUtotal,SelfCUDAtotal,CUDAtotal,SelfCPUMem,CPUMem,SelfCUDAMem,CUDAMem,NumberofCalls
COTR,,,,,,,,,
├──transformer,,,,,,,,,
│││├──conv1,17.267ms,64.888ms,91.645ms,360.284ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,32.055ms,43.266ms,40.749ms,43.627ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.116ms,64.272ms,186.326ms,739.182ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,31.926ms,42.993ms,40.538ms,43.393ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.228ms,64.741ms,81.304ms,318.960ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,31.709ms,42.690ms,70.777ms,73.653ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.413ms,18.905ms,41.623ms,77.923ms,0b,0b,0b,0b,600
││├──4,,,,,,,,,
│││├──conv1,17.189ms,64.530ms,91.563ms,360.037ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn1,31.909ms,43.028ms,40.570ms,43.428ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv2,17.207ms,64.643ms,186.444ms,739.590ms,0b,0b,1.40Gb,7.02Gb,200
│││├──bn2,31.878ms,43.034ms,40.575ms,43.451ms,0b,0b,2.81Gb,5.62Gb,200
│││├──conv3,17.158ms,64.482ms,81.330ms,319.075ms,0b,0b,5.62Gb,28.09Gb,200
│││├──bn3,32.176ms,43.290ms,71.031ms,73.913ms,0b,0b,11.24Gb,22.48Gb,200
│││└──relu,12.310ms,18.760ms,41.519ms,77.780ms,0b,0b,0b,0b,600
││└──5,,,,,,,,,
││├──conv1,17.209ms,64.643ms,91.611ms,360.172ms,0b,0b,1.40Gb,7.02Gb,200
││├──bn1,31.952ms,43.081ms,40.679ms,43.534ms,0b,0b,2.81Gb,5.62Gb,200
││├──conv2,17.096ms,64.229ms,186.324ms,739.179ms,0b,0b,1.40Gb,7.02Gb,200
││├──bn2,31.819ms,42.840ms,40.477ms,43.322ms,0b,0b,2.81Gb,5.62Gb,200
││├──conv3,17.085ms,64.162ms,81.495ms,319.799ms,0b,0b,5.62Gb,28.09Gb,200
││├──bn3,31.699ms,42.730ms,70.732ms,73.608ms,0b,0b,11.24Gb,22.48Gb,200
││└──relu,12.384ms,18.851ms,41.574ms,77.883ms,0b,0b,0b,0b,600
└──1,,,,,,,,,
└──sine,568.560ms,909.850ms,580.386ms,805.950ms,0b,0b,4.56Gb,12.64Gb,100
